Strain	Species	Heterozygous	heterozygosity	Aneuploidies	#aneuploidies	VarScanTP	VarsScanTN	VarScanFP	VarScanFN	CFTP	CFTN	CFFP	CFFN	nQuireTP	nQuireTN	nQuireFP	nQuireFN	ploidyNGSTP	ploidyNGSTN	ploidyNGSFP	ploidyNGSFN	vcf2alleleplotTP	vcf2alleleplotTN	vcf2alleleplotFP	vcf2alleleplotFN	YmapTP	YmapTN	YmapFP	YmapFN
CBS1175	Scer	TRUE	0.000346702	"+1@9,14"	2	2	14	0	0	2	14	0	0	2	7	7	0	1	14	0	1	2	14	0	0	2	14	0	0
CBS1190	Scer	TRUE	0.000533233	"+1n@11,14"	2	2	14	0	0	2	14	0	0	2	10	4	0	2	14	0	0	2	14	0	0	2	14	0	0
CBS1464	Scer	FALSE	0.000283138	No	0	0	16	0	0	0	10	6	0	0	11	5	0	0	16	0	0	0	16	0	0	0	13	3	0
CBS2441	Scer	TRUE	0.003342072	"+1n@5,8,9;+2n@1"	4	3.5	12	0	0.5	4	12	0	0	3	12	0	1	4	12	0	0	4	12	0	0	4	12	0	0
CBS459	Scer	FALSE	0.000146437	+1n@14	1	1	15	0	0	1	15	0	0	1	10	5	0	0	15	0	1	0	15	0	1	1	15	0	0
DBVPG1085	Scer	TRUE	0.00152342	No	0	0	16	0	0	0	16	0	0	0	16	0	0	0	16	0	0	0	16	0	0	0	16	0	0
DBVPG1554	Scer	FALSE	0.000151527	No	0	0	16	0	0	0	16	0	0	0	6	10	0	0	16	0	0	0	16	0	0	0	16	0	0
DBVPG1790	Scer	FALSE	0.000154037	No	0	0	16	0	0	0	16	0	0	0	9	7	0	0	16	0	0	0	16	0	0	0	16	0	0
DBVPG1841	Scer	FALSE	0.000196631	+1n@1	1	1	15	0	0	1	15	0	0	0.5	9	6	0.5	1	15	0	0	0	15	0	1	1	15	0	0
DBVPG1960	Scer	TRUE	0.000557716	No	0	0	16	0	0	0	16	0	0	0	10	6	0	0	16	0	0	0	16	0	0	0	16	0	0
DBVPG4410	Scer	TRUE	0.000338876	No	0	0	16	0	0	0	16	0	0	0	6	10	0	0	16	0	0	0	16	0	0	0	16	0	0
DBVPG6350	Scer	FALSE	0.000223089	+1n@11	1	1	15	0	0	1	15	0	0	0.5	11	4	0.5	0	15	0	1	1	15	0	0	1	15	0	0
DBVPG6590	Scer	FALSE	0.000256331	No	0	0	16	0	0	0	16	0	0	0	11	5	0	0	15	1	0	0	16	0	0	0	16	0	0
DBVPG6694	Scer	TRUE	0.003767398	-1n@3;+1n@1	2	1	14	0	1	2	14	0	0	1.5	14	0	0.5	2	14	0	0	2	14	0	0	2	14	0	0
DBVPG6695	Scer	TRUE	0.003349404	"-1n@1,5,10;+1n@13;+2n@9"	5	4.5	11	0	0.5	5	10	1	0	4	10	1	1	5	11	0	0	5	11	0	0	5	11	0	0
YJM1078	Scer	FALSE	0.000211182	No	0	0	16	0	0	0	16	0	0	0	14	2	0	0	16	0	0	0	16	0	0	0	16	0	0
YJM1083	Scer	FALSE	0.000255483	No	0	0	16	0	0	0	16	0	0	0	8	8	0	0	16	0	0	0	16	0	0	0	16	0	0
YJM1190	Scer	FALSE	0.000397536	No	0	0	16	0	0	0	16	0	0	0	16	0	0	0	16	0	0	0	16	0	0	0	16	0	0
YJM1202	Scer	FALSE	0.000294485	No	0	0	16	0	0	0	16	0	0	0	10	6	0	0	16	0	0	0	16	0	0	0	16	0	0
YJM1356	Scer	FALSE	0.000165482	+1n@1	1	1	15	0	0	0.5	15	0	0.5	0.5	8	7	0.5	0	15	0	1	0	15	0	1	0.5	15	0	0.5
YJM1439	Scer	FALSE	0.000209102	+1n@8	1	0.5	15	0	0.5	0.5	15	0	0.5	0.5	10	5	0.5	0	15	0	1	0	15	0	1	0.5	15	0	0.5
