ID	other_names	genome_data	library_prep	geographical_origin	ecological_origin	substrate	ecology_category	monosporic_derivative	ploidyFACS	ploidyBAF	aneuploidy_BAF	aneuploidy_RD	aneuploidy_binary	aneuploidy_type	RD_aneuploidy	Contaminated	Chr_end_bias	High_var	basename	avg_cov	population_old	pop_summary	population_new	heterozygosity	reference
CBS7960_almeida	DBVPG7960	PRJNA60391	NA	Sao_Paulo_Brazil	Isolated_in_a_factory_(ethanol_from_cane-sugar_syrup)	NA	Bioethanol	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wine	Wine	TBD	NA	Almeida_et_al_2015
CLIB215	NA	PRJNA60143	NA	New_Zealand	Baker's_yeast	NA	Commercial	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wine	Wine	TBD	NA	Almeida_et_al_2015
CLIB324	NA	PRJNA60415	NA	Saigon_Vietnam	Baker's_yeast	NA	Commercial	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mosaic	Mosaic	TBD	NA	Almeida_et_al_2015
I14	NA	PRJNA60149	NA	Petrina_Italy	Vineyard	Soil	Wine	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mosaic	Mosaic	ADMIXED	NA	Almeida_et_al_2015
OakArd11-2-2	NA	PRJEB7675	NA	Ardéche_Lyon_France	Oak	NA	Tree	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mosaic	Mosaic	TBD	NA	Almeida_et_al_2015
OakBor21-1	NA	PRJEB7675	NA	Bordeaux_France	Oak	NA	Tree	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mosaic	Mosaic	TBD	NA	Almeida_et_al_2015
OakGri7.1	NA	PRJEB7675	NA	Grinon_Paris_France	Oak	NA	Tree	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mosaic	Mosaic	TBD	NA	Almeida_et_al_2015
OakRom3-2a	NA	PRJEB7675	NA	near_Bucarest_Romania	Oak	NA	Tree	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mediterranean_oak	Mediterranean_oak	TBD	NA	Almeida_et_al_2015
WE372	NA	PRJNA60199	NA	Cape_Town_South_Africa	Commercial_wine_yeast	NA	Commercial	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wine	Wine	TBD	NA	Almeida_et_al_2015
Y10	NRRL_Y-7567	PRJNA60201	NA	Philippines	Coconut_water	NA	Fruit	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mosaic	Mosaic	TBD	NA	Almeida_et_al_2015
Y9	NRRL_Y-5997	WashU	NA	Indonesia	Fermentation_(ragi)	NA	Fermentation	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sake/Philippines	Sake/Philippines	TBD	NA	Almeida_et_al_2015
YPS1009	NA	PRJNA60223	NA	New_Jersey_USA	Oak_exudate	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	NA	NA	Yes	NA	NA	North_America/Japan	North_America/Japan	TBD	NA	Almeida_et_al_2015
ZP1050	NA	PRJEB7675	NA	Vendinha_Reguengos_de_Monsaraz_Beja_Portugal	Quercus_ilex	NA	Tree	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	North_America/Japan	North_America/Japan	TBD	NA	Almeida_et_al_2015
ZP611	NA	PRJEB7675	NA	Vancouver_Canada	Quercus_robur	NA	Tree	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mosaic	Mosaic	TBD	NA	Almeida_et_al_2015
ZP848	NA	PRJEB7675	NA	Alter_do_Chão_Portugal	Quercus_ilex	NA	Tree	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mediterranean_oak	Mediterranean_oak	TBD	NA	Almeida_et_al_2015
DAV1e	NA	SRP059414	NA	Davenport_Vineyards_Southern_UK	Quercus_robur	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	0.1	No	No	Dav1e	22	Wine	Wine	GRAPE.WINE	0.000114426	Almeida_et_al_2015
DBQ22	AN3e1s1	PRJEB7601	NA	Halkidiki_Greece	Ficus_carica	NA	Fruit	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	No	DBQ22	214	Mosaic	Mosaic	ADMIXED	0.00028641	Almeida_et_al_2015
DBQ26	PYR4b1s1	PRJEB7601	NA	Halkidiki_Greece	Quercus_pubescens	NA	Tree	Yes	NA	Unknown	No	No	No	No	No	No	No	No	DBQ26	74	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000240264	Almeida_et_al_2015
DBS11	AN1f2s1	PRJEB7601	NA	Halkidiki_Greece	Ficus_carica	NA	Fruit	Yes	NA	Unknown	No	No	No	No	No	0.03	No	Yes	DBS11	63	Mosaic	Mosaic	SAKE-LIKE	0.000276593	Almeida_et_al_2015
DBS12	AN1g2s1	PRJEB7601	NA	Halkidiki_Greece	Ficus_carica	NA	Fruit	Yes	NA	Unknown	No	No	No	No	No	No	No	Yes	DBS12	102	Mosaic	Mosaic	ADMIXED	0.000209744	Almeida_et_al_2015
DBVPG10100	3.1	PRJEB7601	NA	Parco_del_Monte_Subasio_Italy	Quercus_cerris	NA	Tree	Yes	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	No	No	DBVPG10100	58	Mediterranean_oak	Mediterranean_oak	EU.OAK	0.000280697	Almeida_et_al_2015
EXF6719	NA	PRJEB7601	NA	Cuber_Slovenia	Wine_must	NA	Wine	Yes	NA	Unknown	No	No	No	No	No	No	No	Yes	EXF6719	91	Wine	Wine	GRAPE.WINE	0.000202218	Almeida_et_al_2015
