basename	ID	other_names	genome_data	library_prep	geographical_origin	ecological_origin	substrate	ecology_category	monosporic_derivative	ploidyFACS	ploidyBAF	aneuploidy_BAF	aneuploidy_RD	aneuploidy_binary	aneuploidy_type	RD_aneuploidy	Contaminated	Chr_end_bias	High_var	avg_cov	population_old	pop_summary	population_new	heterozygosity	reference	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	ploidyCons	aneuploidy_num	lineage	Lineage	admix
1235	1235	1235	ERP014555	NA	Guimar_Tenerife_Spain	Unknown	Unknown	NA	No	2	2	+1@2,4,8,9,12,15	+1@2,4,8,9,12,15	Yes	Gain	Yes	No	No	No	327	1._Wine/European_	1._Wine/European_	TBD	0.000689793	Peter_et_al_2018	NA	1	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	1	NA	2	1	Wine	Wine	Yes
2	2	2	ERP014555	NA	Schleswig-Holstein	Insect	Chalcidoidea__	Insect	No	2	2	No	No	No	No	No	No	No	No	186	M3._Mosaic_region_3_	Mosaics	TBD	0.005064635	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mosaic	Mosaic	Yes
2163	2163	2163	ERP014555	NA	Castellon_Spain	Tree	Quercus_faginea_30C	Tree	No	2	2	No	No	No	No	No	No	Yes	No	245	NA	NA	TBD	0.000382487	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	North American Oak	North_American_Oak	Yes
269521J	269521J	269521J	ERP014555	NA	RVI_Newcastle_UK	Human	Human	Clinical	No	2	2	+1@1	+1@1	Yes	Gain	Yes	No	Yes	No	305	M3._Mosaic_region_3	Mosaics	TBD	0.004063404	Peter_et_al_2018	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Mosaic	Mosaic	Yes
2720	2720	2720	ERP014555	NA	La_Fe_HospitalValencia_Spain	Human_clinical	Blood	Clinical	No	2	2	+1@1,6,7,9,11,12,13	+1@1,6,7,9,11,12,13	Yes	Gain	Yes	No	Yes	No	258	M3._Mosaic_region_3_	Mosaics	TBD	0.004738284	Peter_et_al_2018	1	NA	NA	NA	NA	1	1	NA	1	NA	1	1	1	NA	NA	NA	2	1	Mosaic	Mosaic	Yes
3	3	3	ERP014555	NA	Forest_of_Nehmten_in_Schleswig-Holstein	Insect	Chalcidoidea__	Insect	No	2	2	No	No	No	No	No	No	No	No	248	M3._Mosaic_region_3	Mosaics	TBD	0.004943362	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mosaic	Mosaic	Yes
36	#36	#36	ERP014555	NA	Israel	Nature	Evolution_canyon	NA	No	2	2	+1@1;+2@8	+1@1;+2@8	Yes	Gain	Yes	No	Yes	No	238	M3._Mosaic_region_3	Mosaics	TBD	0.002679167	Peter_et_al_2018	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Mosaic	Mosaic	Yes
384103A	384103A	384103A	ERP014555	NA	RVI_Newcastle_UK	Human	Human	Clinical	No	2	2	No	No	No	No	No	No	Yes	No	290	M3._Mosaic_region_3	Mosaics	TBD	0.004096191	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Clinical	Clinical	Yes
57	#57	#57	ERP014555	NA	Israel	Nature	Evolution_canyon	NA	No	2	2	+1@1;+2@8	+1@1;+2@8	Yes	Gain	Yes	No	No	No	225	M3._Mosaic_region_3	Mosaics	TBD	0.00240941	Peter_et_al_2018	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Mosaic	Mosaic	Yes
58	#58	#58	ERP014555	NA	Israel	Nature	Evolution_canyon	NA	No	2	2	+1@1;+2@8	+1@1;+2@8	Yes	Gain	Yes	No	No	No	228	M3._Mosaic_region_3	Mosaics	TBD	0.002451391	Peter_et_al_2018	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Mosaic	Mosaic	Yes
63	#63	#63	ERP014555	NA	Israel	Nature	Evolution_canyon	NA	No	2	Unknown	No	+1@1	Yes	Gain	Yes	No	No	No	228	M2._Mosaic_region_2	Mosaics	TBD	0.000290725	Peter_et_al_2018	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Mosaic	Mosaic	Yes
92-123	92-123	NA	SRP072079	Truseq	NA	Clinical_	NA	Clinical	No	NA	2	No	No	No	No	No	0.05	No	No	79	NA	NA	TBD	0.004061336	Zhu_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Clinical	Clinical	Yes
995	995	995	ERP014555	NA	Hungary	Beer	Fermented_beverage_from_raisins_and_sugar	Beer	No	2	2	+1@3	+1@3	Yes	Gain	Yes	0.05	No	No	155	M1._Mosaic_region_1	Mosaics	TBD	0.00158561	Peter_et_al_2018	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Wine	Wine	Yes
997	997	997	ERP014555	NA	Hungary	Fruit	Apricot_pulp	Fruit	No	2	2	No	No	No	No	No	No	No	No	190	M3._Mosaic_region_3	Mosaics	TBD	0.00393037	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mosaic	Mosaic	Yes
