ID	other_names	genome_data	library_prep	geographical_origin	ecological_origin	substrate	ecology_category	monosporic_derivative	ploidyFACS	ploidyBAF	aneuploidy_BAF	aneuploidy_RD	aneuploidy_binary	aneuploidy_type	RD_aneuploidy	Contaminated	Chr_end_bias	High_var	basename	avg_cov	population_old	pop_summary	population_new	heterozygosity	reference	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	ploidyCons	aneuploidy_num	lineage
YMD1834	NA	PRJNA504476	HiSeq2000	Belgium	Commercial_Ale	NA	Commercial	No	NA	2	+1@14	+1@14	Yes	Gain	Yes	No	No	No	YMD1834	116	Europe/wine	Europe/wine	TBD	0.001812799	Fay_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	2	1	Ale Beer
BE002	NA	PRJNA323691	NA	Bulgaria	Beer	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE002	109	Beer2	Beer2	TBD	0.001502003	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ale Beer
BE004	NA	PRJNA323691	NA	Belgium	Beer	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE004	127	Beer2	Beer2	TBD	0.002589426	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ale Beer
BE011	NA	PRJNA323691	NA	Belgium	Beer_(Abbey)	NA	Beer	No	NA	2	+1@14	+1@14	Yes	Gain	Yes	No	No	No	BE011	91	Beer2	Beer2	TBD	0.001802779	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	2	1	Ale Beer
BE013	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE013	115	Beer2	Beer2	TBD	0.002077871	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ale Beer
BE014	NA	PRJNA323691	NA	Belgium	Beer_(Strong_ale)	NA	Beer	No	NA	2	+1@15	+1@15	Yes	Gain	Yes	No	No	No	BE014	189	Wine	Wine	TBD	0.000931655	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	2	1	Wine
BE020	NA	PRJNA323691	NA	Belgium	Beer	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE020	97	Wine	Wine	TBD	0.000633248	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
BE021	NA	PRJNA323691	NA	Canada	Beer_(Pale_ale)	NA	Beer	No	NA	2	No	No	No	No	No	No	Yes	No	BE021	83	Beer2	Beer2	TBD	0.002371283	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ale Beer
BE024	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE024	97	Wine	Wine	TBD	0.00058309	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
BE027	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	2	No	No	No	No	No	No	Yes	No	BE027	72	Beer2	Beer2	TBD	0.002296091	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ale Beer
BE030	NA	PRJNA323691	NA	Belgium	Beer_(Trappist)	NA	Beer	No	NA	2	+1@14	+1@14	Yes	Gain	Yes	No	No	No	BE030	160	Wine	Wine	TBD	0.000928731	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	2	1	Wine
BE032	NA	PRJNA323691	NA	England	Beer	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE032	84	Beer2	Beer2	TBD	0.002248289	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ale Beer
BE033	NA	PRJNA323691	NA	England	Beer_(Strong_ale)	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE033	106	Wine	Wine	TBD	0.000670798	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
BE039	NA	PRJNA323691	NA	Czech	Beer_(Lager)	NA	Beer	No	NA	2	+1@14	+1@14	Yes	Gain	Yes	0.03	No	No	BE039	126	Beer2	Beer2	TBD	0.001765801	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	2	1	Ale Beer
BE040	NA	PRJNA323691	NA	US	Beer_(Lager)	NA	Beer	No	NA	2	+1@14	+1@14	Yes	Gain	Yes	No	No	No	BE040	81	Beer2	Beer2	TBD	0.001794908	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	2	1	Ale Beer
BE062	NA	PRJNA323691	Nextera_XT	England	Beer	NA	Beer	No	NA	2	No	No	No	No	No	No	Yes	Yes	BE062	29	Beer2	Beer2	TBD	0.001949769	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ale Beer
BE088	NA	PRJNA323691	Nextera_XT	Germany	Beer	NA	Beer	No	NA	2	No	No	No	No	No	No	Yes	Yes	BE088	38	Wine	Wine	TBD	0.000458424	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
BI001	NA	PRJNA323691	NA	China	Bioethanol	NA	Bioethanol	No	NA	2	No	No	No	No	No	No	No	No	BI001	113	Asian	Asian	TBD	0.000742251	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
BI002	NA	PRJNA323691	NA	Brazil	Bioethanol	NA	Bioethanol	No	NA	2	No	No	No	No	No	No	No	No	BI002	98	Mosaic	Mosaic	TBD	0.003247139	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Brazilian Bioethanol
BI003	NA	PRJNA323691	NA	China	Bioethanol	NA	Bioethanol	No	NA	2	No	No	No	No	No	No	No	No	BI003	78	Asian	Asian	TBD	0.000715446	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
BI004	NA	PRJNA323691	NA	China	Bioethanol	NA	Bioethanol	No	NA	2	No	No	No	No	No	No	No	No	BI004	104	Asian	Asian	TBD	0.000787807	Gallone_et_al_2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
